Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 3100.00 1179.10 98.912082 50.7714 0.953263 14.9137 1.34529 0 5.51776 0.16176 6.03608 0 0 11.3657 2.16131 4.75169 0 2.022 0
2 3100.00 1178.10 98.420172 50.7697 0.955853 14.9675 1.34573 0 5.5223 0.162568 5.98841 0 0 11.3089 2.17145 4.77544 0 2.0321 0
3 3100.00 1177.10 97.933849 50.7681 0.958399 15.0211 1.34614 0 5.5267 0.163376 5.94097 0 0 11.2523 2.18156 4.79916 0 2.04219 0
4 3100.00 1176.10 97.453034 50.7668 0.960902 15.0744 1.34653 0 5.53095 0.164182 5.89377 0 0 11.1957 2.19166 4.82284 0 2.05227 0
5 3100.00 1175.10 96.977648 50.7656 0.963361 15.1274 1.34689 0 5.53506 0.164986 5.84679 0 0 11.1393 2.20173 4.84648 0 2.06233 0
6 3100.00 1174.10 96.507617 50.7647 0.965776 15.1802 1.34722 0 5.53903 0.16579 5.80005 0 0 11.083 2.21179 4.87008 0 2.07238 0
7 3100.00 1173.10 96.042865 50.7639 0.968146 15.2328 1.34753 0 5.54285 0.166592 5.75355 0 0 11.0267 2.22182 4.89365 0 2.0824 0
8 3100.00 1172.10 95.583318 50.7633 0.970472 15.2851 1.34782 0 5.54653 0.167393 5.70728 0 0 10.9706 2.23183 4.91718 0 2.09242 0
9 3100.00 1171.10 95.128905 50.7629 0.972752 15.3372 1.34808 0 5.55006 0.168193 5.66125 0 0 10.9146 2.24182 4.94066 0 2.10241 0
10 3100.00 1170.10 94.679554 50.7628 0.974988 15.3891 1.34831 0 5.55345 0.168991 5.61545 0 0 10.8587 2.25179 4.96411 0 2.11239 0
11 3100.00 1169.10 94.235196 50.7628 0.977177 15.4406 1.34852 0 5.5567 0.169788 5.56989 0 0 10.8029 2.26173 4.98752 0 2.12235 0
12 3100.00 1168.10 93.795762 50.763 0.97932 15.492 1.3487 0 5.5598 0.170583 5.52457 0 0 10.7473 2.27165 5.01089 0 2.13229 0
13 3100.00 1167.10 93.361185 50.7633 0.981418 15.5431 1.34886 0 5.56276 0.171377 5.47949 0 0 10.6917 2.28155 5.03421 0 2.14222 0
14 3100.00 1166.10 92.931399 50.7639 0.983468 15.5939 1.349 0 5.56558 0.17217 5.43464 0 0 10.6363 2.29143 5.05749 0 2.15213 0
15 3100.00 1165.10 92.506338 50.7647 0.985472 15.6445 1.34911 0 5.56826 0.172961 5.39004 0 0 10.581 2.30128 5.08073 0 2.16201 0
16 3100.00 1164.10 92.085938 50.7656 0.987428 15.6948 1.3492 0 5.57079 0.173751 5.34568 0 0 10.5258 2.31111 5.10393 0 2.17188 0
